matter_ref,client_firm,debtor_first_name,debtor_last_name,email,phone,amount_owed,currency,address_line1,address_line2,town,county,eircode,instruction_date,matter_type,notes
CP-2026-0001,Harbour Property Management,Aoife,Quinn,aoife.quinn1@example.com,+353 87 561 5774,1322.65,EUR,13 Mill Lane,,Castletroy,Limerick,V94 VKKF,11/06/2026,Service charge,
CP-2026-0002,Harbour Property Management,Seán,Farrell,sean.farrell2@example.com,+353 86 217 8762,2349.75,EUR,57 Seafield Road,Apartment 1,Blackrock,Cork,T12 A974,21/08/2026,Unpaid invoice,
CP-2026-0003,Liffey Estates Ltd,Tadhg,McLoughlin,tadhg.mcloughlin3@example.com,+353 86 427 1475,2666.85,EUR,19 Seafield Road,,Bray,Wicklow,A98 FC9X,08/07/2026,Rent arrears,
CP-2026-0004,Southside Credit Union,Fergal,Kennedy,,+353 83 715 4594,2222.89,EUR,90 Castle Avenue,,Salthill,Galway,H91 5DAE,16/06/2026,Unpaid invoice,
CP-2026-0005,Southside Credit Union,Padraig,O'Brien,padraig.obrien5@example.com,+353 85 791 3388,3348.89,EUR,110 Seafield Road,,Maynooth,Kildare,W23 8V9P,03/07/2026,Loan arrears,
CP-2026-0006,Liffey Estates Ltd,Kevin,Daly,kevin.daly6@example.com,+353 85 380 5019,2855.49,EUR,79 Main Street,,Blackrock,Cork,T12 VA2R,15/08/2026,Service charge,
CP-2026-0007,Liffey Estates Ltd,Clodagh,Walsh,clodagh.walsh7@@example.com,+353 85 739 9420,138.20,EUR,58 Mill Lane,,Naas,Kildare,W91 ETE5,12/06/2026,Service charge,
CP-2026-0008,Liffey Estates Ltd,Niamh,Moore,niamh.moore8@example.com,+353 86 283 3560,4946.16,EUR,24 Oak Lawn,,Bray,Wicklow,A98 4EPH,11/06/2026,Service charge,
CP-2026-0009,Westgate Lettings,Darragh,,darragh.hayes9@example.com,+353 85 363 4508,2072.00,EUR,52 Park Drive,,Salthill,Galway,H91 D3TA,15/07/2026,Service charge,
CP-2026-0010,Corrib Facilities Ltd,Emma,Byrne,emma.byrne10@example.com,+353 83 558 2775,4362.89,EUR,98 Beech Park,,Navan,Meath,C15 017E,28/08/2026,Unpaid invoice,
CP-2026-0011,Westgate Lettings,Fergal,Keane,fergal.keane11@example.com,+353 83 554 2405,3975.43,EUR,31 Castle Avenue,,Ranelagh,Dublin,D06 3T8Y,02/07/2026,Service charge,
CP-2026-0012,Corrib Facilities Ltd,Oisín,Hayes,oisin.hayes12@example.com,+353 83 614 6456,"€1,200.50",EUR,47 Castle Avenue,,Maynooth,Kildare,W23 W1WC,03/07/2026,Unpaid invoice,
CP-2026-0013,Westgate Lettings,Maeve,Walsh,maeve.walsh13@example.com,+353 86 967 5820,260.47,EUR,78 Harbour View,,Tramore,Waterford,X91 RR66,02/06/2026,Loan arrears,
CP-2026-0014,Harbour Property Management,Emma,Kelly,emma.kelly14@example.com,+353 85 672 8913,1716.36,EUR,107 Beech Park,,Salthill,Galway,H91 W7AA,18/06/2026,Service charge,
CP-2026-0015,Corrib Facilities Ltd,Emma,Kennedy,emma.kennedy15@example.com,+353 83 797 8251,"1.200,50",EUR,52 Church Road,,Blackrock,Cork,T12 99TP,17/07/2026,Loan arrears,
CP-2026-0016,Corrib Facilities Ltd,Tadhg,Gallagher,tadhg.gallagher16@example.com,+353 87 768 8654,775.83,EUR,58 Main Street,Apartment 11,Swords,Dublin,K67 T33K,27/06/2026,Service charge,
CP-2026-0017,Liffey Estates Ltd,Tadhg,McLoughlin,tadhg.mcloughlin17@example.com,+353 83 692 3090,1932.64,EUR,30 Oak Lawn,Apartment 25,Maynooth,Kildare,W23 REXR,23/08/2026,Service charge,
CP-2026-0018,Southside Credit Union,Rory,Murphy,rory.murphy18@example.com,+353 86 107 8117,-300.00,EUR,16 Church Road,,Ranelagh,Dublin,D06 AK2F,20/06/2026,Rent arrears,
